Ê±¼ä,Inbound,Outbound
2021/6/1 0:05,17304081147,68184418993
2021/6/1 0:10,17491573125,73949491652
2021/6/1 0:15,17980498949,77710614618
2021/6/1 0:20,18743977595,80765599018
2021/6/1 0:25,18386845235,78171384506
2021/6/1 0:30,16784230742,68945362797
2021/6/1 0:35,15806305360,64599477452
2021/6/1 0:40,15115554963,62235257061
2021/6/1 0:45,14809967174,60633970351
2021/6/1 0:50,14033992007,58351297424
2021/6/1 0:55,14172787709,57888218211
2021/6/1 1:00,13368119559,56029591641
2021/6/1 1:05,13818446777,58393556214
2021/6/1 1:10,14012089951,64029506211
2021/6/1 1:15,14026417260,64409388790
2021/6/1 1:20,14066483886,63049270491
2021/6/1 1:25,13761271967,64360579765
2021/6/1 1:30,13332480195,58611987359
2021/6/1 1:35,13169163701,56986366321
2021/6/1 1:40,12583145812,54853583936
2021/6/1 1:45,12581609883,54056877231
2021/6/1 1:50,12605413501,53409541470
2021/6/1 1:55,11900319611,52175348959
2021/6/1 2:00,11568043927,49928919954
2021/6/1 2:05,13450056229,53261485768
2021/6/1 2:10,13670789000,53277934533
2021/6/1 2:15,13761948221,51715103275
2021/6/1 2:20,13546429973,49580347515
2021/6/1 2:25,13134911706,48413442155
2021/6/1 2:30,13093159139,47759022086
2021/6/1 2:35,13088364014,46910394693
2021/6/1 2:40,13216865440,46394354458
2021/6/1 2:45,12609080219,45152164250
2021/6/1 2:50,12141179866,44291192217
2021/6/1 2:55,12298818839,43704006927
2021/6/1 3:00,12403295948,43056264873
2021/6/1 3:05,11659946857,42361469110
2021/6/1 3:10,11730819489,42561701099
2021/6/1 3:15,11437090755,41858172085
2021/6/1 3:20,11503957957,41518924268
2021/6/1 3:25,11308844866,41629225144
2021/6/1 3:30,11019062761,40034570914
2021/6/1 3:35,10493345196,38594922712
2021/6/1 3:40,10262422282,38423144666
2021/6/1 3:45,10349703574,37990959043
2021/6/1 3:50,10275622266,37026335778
2021/6/1 3:55,10320400173,37391449127
2021/6/1 4:00,10354613857,37096396623
2021/6/1 4:05,9963551558,36763103392
2021/6/1 4:10,10123802969,36942789883
2021/6/1 4:15,9829032604,36504228263
2021/6/1 4:20,9597628979,36244090207
2021/6/1 4:25,9385746046,36190210207
2021/6/1 4:30,9248775725,36087824402
2021/6/1 4:35,9610160435,36688170033
2021/6/1 4:40,9584371820,36562056788
2021/6/1 4:45,9368277758,36364697890
2021/6/1 4:50,9177481953,35104075008
2021/6/1 4:55,9140272172,34860909488
2021/6/1 5:00,9532900353,35081373199
2021/6/1 5:05,9603409571,34608726418
2021/6/1 5:10,9570128629,34680034689
2021/6/1 5:15,10105395694,36066698446
2021/6/1 5:20,10359841875,36428969302
2021/6/1 5:25,10073570747,36316534271
2021/6/1 5:30,10234323343,36269382098
2021/6/1 5:35,9963940882,36258672487
2021/6/1 5:40,9472150569,35179750683
2021/6/1 5:45,9367825730,35314964487
2021/6/1 5:50,9145038152,35340728057
2021/6/1 5:55,8723009817,35339306026
2021/6/1 6:00,8687332843,35406072833
2021/6/1 6:05,9043106577,36395722322
2021/6/1 6:10,9095231519,36057640271
2021/6/1 6:15,9596304201,37182257701
2021/6/1 6:20,9673235418,38064537841
2021/6/1 6:25,9392690384,38579139955
2021/6/1 6:30,9304439867,38166840794
2021/6/1 6:35,9486779345,38579580650
2021/6/1 6:40,9629791123,39660068947
2021/6/1 6:45,9680553158,40253314578
2021/6/1 6:50,9792407887,40551945330
2021/6/1 6:55,9893952693,41089381860
2021/6/1 7:00,9808770387,41988527170
2021/6/1 7:05,10244024291,45370772269
2021/6/1 7:10,11528913321,49493791872
2021/6/1 7:15,12021261257,52438241261
2021/6/1 7:20,12382301544,53867096458
2021/6/1 7:25,12868966502,56351825644
2021/6/1 7:30,12879005027,57698430454
2021/6/1 7:35,10105895727,52049430670
2021/6/1 7:40,9436205779,48309573606
2021/6/1 7:45,9402901268,45333645540
2021/6/1 7:50,9683258309,45088364110
2021/6/1 7:55,9897275585,46103550193
2021/6/1 8:00,10623193951,48646246127
2021/6/1 8:05,10711411229,50953751676
2021/6/1 8:10,10871865925,51971200110
2021/6/1 8:15,11449133715,52522375235
2021/6/1 8:20,11581677562,52966022575
2021/6/1 8:25,11707387969,53910715769
2021/6/1 8:30,11964562192,56043819742
2021/6/1 8:35,12578415452,62057844717
2021/6/1 8:40,12945502766,67555918785
2021/6/1 8:45,13025626284,68698971860
2021/6/1 8:50,13197158463,68166975614
2021/6/1 8:55,13252650236,71176423206
2021/6/1 9:00,13294874729,75155322047
2021/6/1 9:05,13556806304,76831814506
2021/6/1 9:10,13767888168,75051752966
2021/6/1 9:15,14161888361,75374927843
2021/6/1 9:20,14542283602,77575983324
2021/6/1 9:25,14774686802,76559370100
2021/6/1 9:30,15233672221,76838754230
2021/6/1 9:35,16004546691,80230843718
2021/6/1 9:40,16052974457,76336655474
2021/6/1 9:45,16141191380,76993755355
2021/6/1 9:50,15995138572,77283607901
2021/6/1 9:55,16190814488,77095667476
2021/6/1 10:00,16620705193,77818766141
2021/6/1 10:05,16777885839,77267846900
2021/6/1 10:10,16891752083,78437007918
2021/6/1 10:15,17344041915,78900577832
2021/6/1 10:20,17702983892,79179183110
2021/6/1 10:25,18234480434,79952802487
2021/6/1 10:30,17656384084,79322985392
2021/6/1 10:35,17558061810,79701705378
2021/6/1 10:40,17420767764,79275065823
2021/6/1 10:45,17269094881,79308154652
2021/6/1 10:50,17288351136,79662770412
2021/6/1 10:55,17167775069,80008342496
2021/6/1 11:00,17339382968,79682510061
2021/6/1 11:05,17498493044,80044799774
2021/6/1 11:10,17372058456,79673882437
2021/6/1 11:15,17683398775,80219686079
2021/6/1 11:20,18298714849,79970463469
2021/6/1 11:25,18594907090,80003121514
2021/6/1 11:30,18359026635,80304377239
2021/6/1 11:35,18125979652,79167861816
2021/6/1 11:40,17897712438,79925516147
2021/6/1 11:45,17914455471,79787695894
2021/6/1 11:50,18083725036,80368642880
2021/6/1 11:55,18183340218,80235014389
2021/6/1 12:00,18458967100,80752513425
2021/6/1 12:05,18192260358,81145988864
2021/6/1 12:10,18122047449,81017967988
2021/6/1 12:15,18223328276,82112499219
2021/6/1 12:20,18361141904,83616995704
2021/6/1 12:25,18575989453,84068201898
2021/6/1 12:30,18422661211,84009061420
2021/6/1 12:35,18764069301,85255177957
2021/6/1 12:40,18457250004,85198498818
2021/6/1 12:45,18414514309,84632353220
2021/6/1 12:50,19583234397,84862870682
2021/6/1 12:55,19102448393,83710592732
2021/6/1 13:00,18687234025,83294160643
2021/6/1 13:05,18443488748,82825656732
2021/6/1 13:10,18146108684,81998821991
2021/6/1 13:15,17876745680,81418871376
2021/6/1 13:20,17381460820,80808720907
2021/6/1 13:25,17155884183,79089963713
2021/6/1 13:30,16876468522,79808682902
2021/6/1 13:35,17071427123,79690972009
2021/6/1 13:40,16734248706,79252118095
2021/6/1 13:45,17214195766,79473325769
2021/6/1 13:50,17520071376,79457471976
2021/6/1 13:55,17882124857,79078730261
2021/6/1 14:00,17313089805,79089155147
2021/6/1 14:05,18016525268,80807582967
2021/6/1 14:10,18271960139,79478786525
2021/6/1 14:15,18438609977,79467016405
2021/6/1 14:20,18597789337,79967483184
2021/6/1 14:25,18772663584,80167325898
2021/6/1 14:30,19041139387,80007673255
2021/6/1 14:35,19031516356,79820826428
2021/6/1 14:40,19233597582,79901930191
2021/6/1 14:45,19612761441,80197408815
2021/6/1 14:50,20159108202,80320590291
2021/6/1 14:55,19933157462,79282972697
2021/6/1 15:00,19635694298,79919024212
2021/6/1 15:05,19830998417,81109428638
2021/6/1 15:10,20067167751,79562666800
2021/6/1 15:15,20286254799,80133126377
2021/6/1 15:20,20280878917,80433079678
2021/6/1 15:25,20273077086,79838998742
2021/6/1 15:30,20585890117,80218225888
2021/6/1 15:35,20682791452,80056041829
2021/6/1 15:40,21120052232,80378124093
2021/6/1 15:45,21654607431,80465488166
2021/6/1 15:50,21686842575,80178657728
2021/6/1 15:55,21086070050,79419174388
2021/6/1 16:00,20789102070,79811401615
2021/6/1 16:05,20620854588,80302320954
2021/6/1 16:10,20766469911,80081337165
2021/6/1 16:15,20576832898,79836412658
2021/6/1 16:20,20585303253,80441095147
2021/6/1 16:25,20863539568,80273899963
2021/6/1 16:30,20769187840,80626631206
2021/6/1 16:35,20613989695,79812613902
2021/6/1 16:40,20014942578,79663273752
2021/6/1 16:45,19538715981,79693190039
2021/6/1 16:50,19720484824,80010354743
2021/6/1 16:55,19509451947,80126281799
2021/6/1 17:00,19539551129,80544020161
2021/6/1 17:05,19632510385,80061505068
2021/6/1 17:10,19677157490,80477727897
2021/6/1 17:15,19651082873,81082740160
2021/6/1 17:20,19633429692,81213988371
2021/6/1 17:25,19530908936,81292940469
2021/6/1 17:30,19705113553,81414019439
2021/6/1 17:35,19648729518,81635815232
2021/6/1 17:40,19601582219,81618852083
2021/6/1 17:45,20473119608,82996380445
2021/6/1 17:50,19902031825,82565024921
2021/6/1 17:55,20523565209,84136569692
2021/6/1 18:00,20432323377,82572010261
2021/6/1 18:05,18271548638,78520361483
2021/6/1 18:10,17788076416,81157519174
2021/6/1 18:15,17924781464,81808193488
2021/6/1 18:20,18063450488,82313440395
2021/6/1 18:25,17971844398,82611943903
2021/6/1 18:30,18028176137,83015392812
2021/6/1 18:35,18576264502,83047842061
2021/6/1 18:40,19315524473,83173317442
2021/6/1 18:45,19450523086,83195042908
2021/6/1 18:50,19435906789,83021662502
2021/6/1 18:55,19264246454,83081490347
2021/6/1 19:00,19342862053,84253708799
2021/6/1 19:05,20324204485,85543572692
2021/6/1 19:10,20537547580,85864944318
2021/6/1 19:15,21028506763,86628971015
2021/6/1 19:20,21468759632,86795100480
2021/6/1 19:25,21593877018,86095671184
2021/6/1 19:30,21424680993,86982876103
2021/6/1 19:35,21391630103,88017779641
2021/6/1 19:40,21150797466,88002338692
2021/6/1 19:45,21490015980,89017911339
2021/6/1 19:50,21278101548,88863532920
2021/6/1 19:55,21468638759,89397748895
2021/6/1 20:00,21826525381,88896388123
2021/6/1 20:05,21881710339,89322194134
2021/6/1 20:10,21473098821,88758199347
2021/6/1 20:15,21792514870,89145995834
2021/6/1 20:20,21900674410,89301819869
